"ROW_ID","ROW_VERSION","ROW_ETAG","id","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","BrodmannArea","PMI","assay","concreteType","study","consortium","dataSubtype","dataType","fileFormat","group","isStranded","libraryPrep","organ","platform","read","readLength","readStrandOrigin","runType","species","specimenID","specimenIdSource","tissue","name","dataFileHandleId","RIN"
"8685500","1","7f8eefe1-7ab2-11e9-98fa-026b0a0ad230","syn8685500","1492026419029","2223305","7f8eefe1-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016624908","3337572",,"3.15","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11265_CER","MayoRNAseq","cerebellum","11265_CER.FCC7KRCACXX_L8IACTGAT.r2.fastq.gz","15149813","6.5"
"8685518","1","7f8ef07e-7ab2-11e9-98fa-026b0a0ad230","syn8685518","1492026649300","2223305","7f8ef07e-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016629212","3337572",,"4","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11266_CER","MayoRNAseq","cerebellum","11266_CER.FCC79ETACXX_L8IACTGAT.r2.fastq.gz","15149819","8.6"
"8685522","1","7f8ef250-7ab2-11e9-98fa-026b0a0ad230","syn8685522","1492026886187","2223305","7f8ef250-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016631467","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11267_CER","MayoRNAseq","cerebellum","11267_CER.FCC7KRCACXX_L4IGAGTGG.r1.fastq.gz","15149824","7.9"
"8685549","1","7f8ef382-7ab2-11e9-98fa-026b0a0ad230","syn8685549","1492027109523","2223305","7f8ef382-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016633665","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11267_CER","MayoRNAseq","cerebellum","11267_CER.FCC7KRCACXX_L4IGAGTGG.r2.fastq.gz","15149833","7.9"
"8685571","1","7f8ef5ef-7ab2-11e9-98fa-026b0a0ad230","syn8685571","1492027360961","2223305","7f8ef5ef-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016637640","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11271_CER","MayoRNAseq","cerebellum","11271_CER.FCC7KRCACXX_L1IATCACG.r2.fastq.gz","15149839","9.1"
"8685601","1","7f8ef68a-7ab2-11e9-98fa-026b0a0ad230","syn8685601","1492027586709","2223305","7f8ef68a-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016639396","3337572",,"12","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11275_CER","MayoRNAseq","cerebellum","11275_CER.FCC7BR1ACXX_L6ITAGCTT.r1.fastq.gz","15149848","8.3"
"8685621","1","7f8ef859-7ab2-11e9-98fa-026b0a0ad230","syn8685621","1492027837042","2223305","7f8ef859-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016644612","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11276_CER","MayoRNAseq","cerebellum","11276_CER.FCC7DJAACXX_L7IGTTTCG.r1.fastq.gz","15149856","7.8"
"8685663","1","7f8ef993-7ab2-11e9-98fa-026b0a0ad230","syn8685663","1492028108751","2223305","7f8ef993-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016646824","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11276_CER","MayoRNAseq","cerebellum","11276_CER.FCC7DJAACXX_L7IGTTTCG.r2.fastq.gz","15149870","7.8"
"8685676","1","7f8efc07-7ab2-11e9-98fa-026b0a0ad230","syn8685676","1492028340351","2223305","7f8efc07-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016649221","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11279_CER","MayoRNAseq","cerebellum","11279_CER.FCC7E15ACXX_L5IATCACG.r1.fastq.gz","15149874","9.5"
"8685690","1","7f8efca3-7ab2-11e9-98fa-026b0a0ad230","syn8685690","1492028560463","2223305","7f8efca3-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016653109","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11281_CER","MayoRNAseq","cerebellum","11281_CER.FCC79ETACXX_L5IACTTGA.r1.fastq.gz","15149879","9.5"
"8685711","1","7f8f020b-7ab2-11e9-98fa-026b0a0ad230","syn8685711","1492028865427","2223305","7f8f020b-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016658392","3337572",,"5","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11285_CER","MayoRNAseq","cerebellum","11285_CER.FCC7L0WACXX_L3ICGTACG.r2.fastq.gz","15149888","7.1"
"8685752","1","7f8f074c-7ab2-11e9-98fa-026b0a0ad230","syn8685752","1492029133330","2223305","7f8f074c-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016662093","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11287_CER","MayoRNAseq","cerebellum","11287_CER.FCC7983ACXX_L5ITTAGGC.r2.fastq.gz","15149934","7.7"
"8685787","1","7f8f09b9-7ab2-11e9-98fa-026b0a0ad230","syn8685787","1492029420953","2223305","7f8f09b9-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016666159","3337572",,"2.25","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11288_CER","MayoRNAseq","cerebellum","11288_CER.FCC7KUNACXX_L2IGATCAG.r2.fastq.gz","15149974","8.1"
